id,make,model,year,vin_number,number_of_seats,car_type_name,licenseplate_number
1001,Volkswagen,Fox,1988,KNAGM4ADXE5746118,4,E,PCDHZ2FQV
1002,Pontiac,Solstice,2007,3C6JD6AK7CG886577,2,A,ACAPXIMEJ
1003,Buick,Roadmaster,1993,WA1CYBFE6AD599074,7,B,MZCL6OID8
1004,Mercedes-Benz,,1984,WBAYM1C52ED041179,8,A,FV1H6YSH9
1005,Mercedes-Benz,S-Class,1984,3N1AB6AP3BL553022,8,C,EBEW8EYQL
1006,Mercury,Marquis,1985,5BZAF0AA8EN779667,6,E,EDH330KEB
1007,Dodge,Shadow,1994,WDDHF2EB8DA220029,3,D,OHVHBVKWL
1008,Chevrolet,Colorado,2007,1D4PU5GK5BW579383,1,A,FWTATRRTO
1009,Toyota,,2004,WP0AA2A85EK691846,6,D,IMKFAUYMO
1010,,200SX,1996,1G6DU57V190046912,5,D,LINKT2RZO
1011,Mitsubishi,Lancer Evolution,2005,JM1BL1K50B1273516,7,B,OZP951OF6
1012,Acura,Legend,1989,JTMHY7AJXE4790824,6,E,HP39YMKJ0
1013,Ford,Escape,2004,WA1CV74L37D792377,2,A,FRH9P4VM8
1014,Ford,E350,2008,JA32X8HWXDU284102,6,D,QOH5R1UVO
1015,Volkswagen,Tiguan,2009,1HGCR2F32FA230465,9,A,CTLTGMLSZ
1016,Ford,F-Series,2001,1FMHK7B81CG132973,7,A,UY02JEIGS
1017,Pontiac,Grand Am,1992,JTMHY7AJ3E4285918,3,B,VQ5PPJFU2
1018,Dodge,Grand Caravan,1994,KMHGC4DE2AU684610,9,A,RP7UQ9RMT
1019,Land Rover,Range Rover,1999,JN1AY1APXBM004764,7,A,HWZI68QAH
1020,Chevrolet,Corvette,1963,WUADNAFG9BN928458,6,D,GSZR9PRPB
1021,Smart,Fortwo,2008,1G6DH1E39E0988263,3,D,HRSCTUQQ6
1022,Buick,Riviera,1986,3FA6P0D98DR785278,7,C,PJZZM0OYX
1023,Ford,LTD Crown Victoria,1993,WBAPH5G56AN908184,9,C,OZYBOINIU
1024,Lincoln,MKT,2013,1N6BF0KX6FN569266,4,B,PLQDE2PM1
1025,Ford,Escort,2002,3D7JV1EP5AG077855,2,D,AT3PU3ED3
1026,Mazda,MX-5,1993,1G6AM5SX6D0785844,5,E,BZEZL3IX3
1027,Ford,Lightning,1994,1G6DJ8EV4A0158489,3,B,RM6HWEPP8
1028,Lexus,,2011,2HNYD2H60CH279357,5,E,FE2JVIBNN
1029,Oldsmobile,Alero,2000,1G6AM1R33F0611342,9,B,CBV60UXUH
1030,Dodge,Daytona,1992,19UUA56853A487480,3,A,GN1DS2DJS
1031,Honda,Odyssey,1996,19UUA56953A633465,3,D,NRF3MQLIB
1032,Toyota,4Runner,1996,2C4RDGEG3FR716822,3,E,EPQYBGLJ0
1033,Dodge,Spirit,1992,2C3CCABG9CH037721,4,A,RL5ELUZT4
1034,Chrysler,Town & Country,2007,3G5DB03E93S781480,7,D,FAB3KGMFX
1035,Chevrolet,,2006,JM1NC2EFXA0076848,6,C,DOE2EKWAT
1036,Ford,Fiesta,2011,3D7TP2HT0AG103571,2,D,BVWYFDSTH
1037,Nissan,Altima,2002,WBAUC9C56CV909403,8,C,YWZUFOQVQ
1038,Honda,Accord,1991,SCFHDDAT6EG123485,9,E,BUZAQIOP1
1039,Suzuki,Swift,1991,SCBBR93W79C371383,9,E,PBPGHTCYH
1040,Subaru,Impreza,1997,2G4GS5GXXF9752324,2,E,QF3FENCF5
1041,Toyota,,2001,WBAVD53538A783431,2,D,QNMGF7STB
1042,Chevrolet,Tahoe,2011,4T1BF1FK6CU272809,4,D,HQG6LWBBO
1043,Scion,tC,2006,3C3CFFBR7DT076323,4,D,YXNRYUYHB
1044,Mercedes-Benz,S-Class,1984,WAU3FAFR3CA112178,8,E,DR55D3HQ9
1045,Cadillac,Escalade,2000,WAUGL98EX8A702534,9,D,UA19CAWKS
1046,BMW,760,2004,1GYUKBEF7AR160047,3,A,YYGFZCLEF
1047,Buick,LeSabre,1987,5BZBF0AA6FN201492,7,D,WPH0RITTR
1048,BMW,7 Series,1995,1G4GH5E34DF043455,9,D,AAVVAYZH5
1049,Toyota,RAV4,2000,1C3CDFCA7DD825321,5,B,YJYBKUBUB
1050,Mazda,Familia,1991,KNAFZ6A35F5738302,3,C,CDQRUXYC3
1051,Chevrolet,HHR,2007,JN1CV6AP2BM420645,8,A,CKFOZKHWQ
1052,Cadillac,Escalade ESV,2011,2C4JRGAGXER656217,8,A,CNYFX7ZME
1053,Jaguar,X-Type,2007,WBANN73507B759119,7,C,WMJF9QNQH
1054,Honda,Element,2005,WVGEF9BP6ED222332,8,C,ZIDRPYYW2
1055,Mazda,Tribute,2009,2HNYD18966H462156,4,C,VFY5UGBCL
1056,Mitsubishi,Galant,1998,WUADUAFG8CN422138,9,E,XFFVS5KF5
1057,Volkswagen,CC,2012,JTEBW3EH3A2890647,8,C,ANW4HTOIB
1058,GMC,Terrain,2012,SCFEBBAC7AG740093,5,D,LAF65OCAL
1059,GMC,Yukon,1996,SCFBB04C59G630125,3,E,PWWKLVOI4
1060,Mercedes-Benz,SLS AMG,2012,WUARL48H27K821327,2,C,EW9A8GMZN
1061,Plymouth,Fury,1964,1G4HP52K954793496,7,A,IQF7JIMMJ
1062,Oldsmobile,Achieva,1995,3VWJX7AJ5AM888546,8,C,IL5769HMP
1063,Saturn,S-Series,1992,1N4AL2AP4CC943519,6,E,ZE3FA9ZHI
1064,Jeep,Grand Cherokee,2000,1G6DS1E32D0573415,1,C,DEQDSATN5
1065,Suzuki,Swift,2001,19UUA56822A109759,3,D,XMO5L3KOJ
1066,Lexus,ES,1989,3VW1K7AJ5FM161865,4,C,ZGV2H4CUN
1067,Porsche,911,1991,1N6AF0KX2EN682805,6,A,PRJ91NZLI
1068,Kia,Sportage,1996,KMHCM3AC8AU896419,7,A,KQLI2MZKU
1069,Audi,,2008,WAUPL68E25A409298,5,A,NV7SO8GEA
1070,Subaru,Impreza,1994,WAUBH78E07A529086,8,E,GQKN9GZAT
1071,Ford,Festiva,1988,WBAAW33491E702855,2,B,CU2GF8XI9
1072,Chevrolet,S10,1997,YV4902DZ5B2105133,3,E,CPRUS2PIA
1073,Honda,Accord Crosstour,2011,WAUDF98E38A697820,3,D,JBZ7ZQXA8
1074,Buick,Terraza,2006,1G4GD5ED1BF561301,1,D,AC425CRM0
1075,Mercury,Tracer,1999,4USBU53527L599004,7,E,TB0QBKOGT
1076,Alfa Romeo,164,1992,YV1672MC2CJ949791,6,B,YSN2SWJPR
1077,Infiniti,QX56,2010,KMHHT6KD6AU236025,4,C,KPAR8HPNP
1078,Ford,Mustang,1971,WAUBF98E08A394372,6,D,LIOTBRWXG
1079,Toyota,RAV4,2011,WBAEN33494E170029,1,B,JQK1ZLZXG
1080,Chevrolet,Suburban 2500,1997,2C3CDXHG1DH039486,5,E,ZF1QL9BVE
1081,Hyundai,Elantra,1996,5GADV23L85D896814,7,D,SUALAJUL2
1082,,,1999,JTMHY7AJ6A4830441,2,B,SS0IL2DA5
1083,Ford,F-Series,1994,WBAFR9C51BD746574,6,A,YCDZTBKKX
1084,Mercedes-Benz,Sprinter 2500,2012,1FTEW1CW6AK965149,2,B,KTEDQBJGR
1085,Chevrolet,Express 2500,1998,1G6DA1E35C0274261,2,B,TS3C8ABNY
1086,Subaru,XT,1989,1C4RJEAG8FC001143,3,D,NQROT3VWZ
1087,Chrysler,300,2010,4T1BD1EB8FU072672,8,E,NNN4WCNZA
1088,Buick,LaCrosse,2010,1G6ET129X1B438399,4,B,ZSEVMYLA9
1089,Ford,Escort,1986,WAUEFBFL9AN018595,9,C,HR65V6WQ8
1090,Audi,S8,2002,WBA3A9C50FK860058,9,B,DAKILHSH5
1091,Nissan,Maxima,1994,1C3CCBBB2DN418488,6,A,CGQ2IJEFB
1092,Mazda,MX-6,1995,2HNYD285X7H574284,1,C,UZIV1EAKY
1093,Volkswagen,R32,2004,SCBDC3ZA1DC891901,6,D,QD4UOFVFU
1094,Hyundai,Genesis,2012,WBAFU7C55BC202944,2,E,IV6UKWAMM
1095,Maybach,Landaulet,2012,WDDGF4HB8ER305118,8,D,TITUGAPGA
1096,Plymouth,Acclaim,1995,1G6AH5SX7E0553534,5,D,TYJHD2HQX
1097,Mazda,B-Series Plus,1997,3GTXCYEJ9AG448319,4,C,RB0ZGAEIQ
1098,Volkswagen,rio,1995,WBA3D5C55EF475506,7,D,VINA2BFAG
1099,Volkswagen,Routan,2010,3N1BC1APXAL731883,6,A,WGIC6RNT9
1100,Lexus,,2000,1D7RE3GK2AS721093,7,C,HHEQ68EMY
1101,Hyundai,Tucson,2008,SCFFDAAM7EG099468,5,B,UHAWOYWGJ
1102,Nissan,Versa,2010,SALAB2D43BA114118,1,D,XQVN9FXNO
1103,Pontiac,Firefly,1991,1GYFK63878R690081,6,B,GTDPP2HO8
1104,GMC,Sierra 3500HD,2006,WBA3K5C53FK412984,9,D,VC0AZCBJU
1105,Toyota,Sequoia,2007,2D4RN5D18AR121930,6,B,QCXRGKSY0
1106,BMW,M5,2008,3C6TD5HT6CG026073,7,B,WOC0E4NZA
1107,Volkswagen,GTI,1986,WAUHF78P68A484352,8,E,CX36SYYOR
1108,BMW,Z3,1998,WBA3V7C59FP872494,2,A,FB3TKCTT4
1109,Buick,Skyhawk,1986,WAUXL58E05A546668,7,D,HD8Z7KSPA
1110,Infiniti,I,1997,4A31K5DF1BE400940,8,A,TEQ81ZDFM
1111,Ford,F250,1993,KNDJT2A28D7763856,6,B,XAQA78BRA
1112,Ford,Focus,2004,19UUA8F59DA675878,8,C,XSNL5MPZ0
1113,BMW,525,2001,WBA3D3C5XEF624335,7,D,XNTIWHWYN
1114,GMC,Canyon,2010,1C3BCBGG0CN993445,7,E,SA7S4INUE
1115,Ford,Explorer Sport Trac,2003,WBANW53599C418610,5,E,FP96FRGJB
1116,GMC,Canyon,2004,1N4AL3AP1EC029401,1,A,VDB8G3CLP
1117,Lincoln,Continental,1994,3G5DA03L37S540134,3,E,EELXZEHDN
1118,Mitsubishi,Eclipse,2002,WBANW13529C999277,4,D,YSZ5FPKZ1
1119,Toyota,RAV4,2007,5NPDH4AE5EH761256,3,D,XGM2WHDEM
1120,Subaru,Legacy,2005,3MZBM1L72EM017590,5,E,CJVP3ZWML
1121,Hyundai,Azera,2009,WDDGF4HB4ER513402,8,E,MDQ8CALQI
1122,,Element,2006,1FTEW1C89AF943477,5,C,TFA9A1BAV
1123,Chevrolet,Monte Carlo,2000,WBABS534X3J041973,4,C,SUSQ4BPCF
1124,Dodge,Stratus,2001,JN1AZ4EH7EM370719,3,C,ETOAI1MZ4
1125,Mitsubishi,Montero Sport,2001,3C63DRJLXCG058185,5,E,LNSBG2PXJ
1126,Chevrolet,Silverado 3500,2004,1GYFK46858R238615,4,A,WH3OE2WKI
1127,Chevrolet,1500,1993,WBA3T3C53EJ404793,3,A,JHRKTWTLP
1128,Mazda,MX-5,1991,4F2CY0C72AK036129,4,A,BAOZCGNID
1129,Bentley,Continental,2005,WAUSF78K69N621567,4,B,XT20MUVWN
